id,timestep,F_x,F_y,F_z,T_x,T_y,T_z
0,1,-1,-1,63,-3,-1,0
0,2,0,0,62,-3,-1,0
0,3,-1,-1,61,-3,0,0
0,4,-1,-1,63,-2,-1,0
0,5,-1,-1,63,-3,-1,0
0,6,-1,-1,63,-3,-1,0
0,7,-1,-1,63,-3,0,0
0,8,-1,-1,63,-3,-1,0
0,9,-1,-1,63,-3,-1,0
0,10,-1,-1,61,-3,0,0
0,11,-1,-1,61,-3,0,0
0,12,-1,-1,64,-3,-1,0
0,13,-1,-1,64,-3,-1,0
0,14,-1,-1,60,-3,0,0
0,15,-1,0,64,-2,-1,0
1,1,-1,-1,63,-2,-1,0
1,2,-1,-1,63,-3,-1,0
1,3,-1,-1,61,-3,0,0
1,4,0,-4,63,1,0,0
1,5,0,-1,59,-2,0,-1
1,6,-3,3,57,-8,-3,-1
1,7,-1,3,70,-10,-2,-1
1,8,0,-3,61,0,0,0
1,9,0,-2,53,-1,-2,0
1,10,0,-3,66,1,4,0
1,11,-3,3,58,-10,-5,0
1,12,-1,-1,66,-4,-2,0
1,13,-1,-2,67,-3,-1,0
1,14,0,1,66,-6,-3,-1
1,15,-1,-1,59,-3,-4,0
2,1,-1,0,57,-5,-3,0
2,2,0,-3,63,-1,0,0
2,3,-1,1,51,-4,-1,-1
2,4,-1,-2,68,-2,-2,0
2,5,-1,-1,65,-6,1,0
2,6,0,0,61,-5,-2,0
2,7,-1,1,61,-6,0,-1
2,8,0,-3,57,3,-4,0
2,9,-1,-1,59,-4,-4,0
2,10,1,-3,65,-1,1,0
2,11,-1,2,64,-7,-2,0
2,12,-1,1,66,-7,-3,-1
2,13,-1,0,61,-5,-5,0
2,14,-1,0,65,-6,-2,-1
2,15,-1,0,54,-4,-3,0
3,1,0,-1,59,-2,-1,-1
3,2,0,-3,61,-1,2,0
3,3,-2,1,56,-6,-3,0
3,4,1,-3,64,-1,4,0
3,5,-1,1,62,-7,1,-1
3,6,-1,0,60,-9,-5,-1
3,7,1,1,56,-5,0,0
3,8,1,-1,66,-4,2,1
3,9,-2,5,64,-15,-2,0
3,10,-1,2,58,-8,-4,0
3,11,0,1,70,-9,-2,-1
3,12,-1,1,64,-8,-6,-1
3,13,0,-1,67,-6,0,-1
3,14,0,-2,63,-4,0,0
3,15,-1,1,63,-8,-2,0
4,1,0,-2,65,-4,-2,0
4,2,-1,-2,56,-5,-3,0
4,3,0,0,58,-9,-1,0
4,4,-1,-1,56,-5,-3,0
4,5,-2,3,57,-12,-4,-1
4,6,-1,-2,65,-5,-2,0
4,7,-1,2,56,-9,-5,0
4,8,2,-2,60,-2,3,1
4,9,0,1,67,-9,-2,1
4,10,-1,2,60,-10,-5,0
4,11,0,-3,63,-3,-1,0
4,12,-1,-1,73,-8,-5,0
4,13,-1,0,57,-7,-4,-1
4,14,-1,0,59,-8,-4,-1
4,15,-1,1,57,-9,-4,-1
5,1,-1,2,57,-10,-3,0
5,2,-2,3,60,-12,-4,-1
5,3,-1,2,63,-12,-6,1
5,4,1,3,62,-11,0,0
5,5,-3,2,56,-9,-4,0
5,6,0,1,58,-8,-1,-1
5,7,-1,3,57,-11,-4,0
5,8,-2,3,61,-10,-5,0
5,9,-3,3,60,-11,-4,0
5,10,1,2,64,-9,0,-1
